yearDataReleased,dataYear,measure,category,usPopWithPR,count50StDcPr,ratePer10k
2017,2016,shelteredAnnual,white,250809230,669778,26.7
2017,2016,shelteredAnnual,black,43478208,586787,135.0
2017,2016,shelteredAnnual,asian,18377051,10719,5.8
2017,2016,shelteredAnnual,nativeAmerican,4063165,34135,84.0
2017,2016,shelteredAnnual,nhpi,850266,14412,169.5
2017,2016,shelteredAnnual,multipleRaces,8644631,62725,72.6
2017,2016,shelteredAnnual,hispanic,60855833,235868,38.8
2017,2017,homelessOneNight,white,248502532,259298,10.4
2017,2017,homelessOneNight,black,43000691,223990,52.1
2017,2017,homelessOneNight,asian,18318522,6559,3.6
2017,2017,homelessOneNight,nativeAmerican,4054649,16774,41.4
2017,2017,homelessOneNight,nhpi,771475,7236,93.8
2017,2017,homelessOneNight,multipleRaces,8479644,34455,40.6
2017,2017,homelessOneNight,hispanic,57470287,115882,20.2
2017,2017,unshelteredOneNight,white,248502532,105304,4.2
2017,2017,unshelteredOneNight,black,43000691,56692,13.2
2017,2017,unshelteredOneNight,asian,18318522,2879,1.6
2017,2017,unshelteredOneNight,nativeAmerican,4054649,8065,19.9
2017,2017,unshelteredOneNight,nhpi,771475,2831,36.7
2017,2017,unshelteredOneNight,multipleRaces,8479644,12872,15.2
2017,2017,unshelteredOneNight,hispanic,57470287,41876,7.3
2016,2015,shelteredAnnual,white,249926138,709746,28.4
2016,2015,shelteredAnnual,black,42998636,594226,138.2
2016,2015,shelteredAnnual,asian,17844649,11251,6.3
2016,2015,shelteredAnnual,nativeAmerican,4017063,40038,99.7
2016,2015,shelteredAnnual,nhpi,834411,15279,183.1
2016,2015,shelteredAnnual,multipleRaces,8417206,65246,77.5
2016,2015,shelteredAnnual,hispanic,59795614,252349,42.2
2016,2016,homelessOneNight,white,247543007,263689,10.7
2016,2016,homelessOneNight,black,42574478,214178,50.3
2016,2016,homelessOneNight,asian,17784547,5581,3.1
2016,2016,homelessOneNight,nativeAmerican,4005645,15172,37.9
2016,2016,homelessOneNight,nhpi,755813,7686,101.7
2016,2016,homelessOneNight,multipleRaces,8233128,37778,45.9
2016,2016,homelessOneNight,hispanic,56338521,116938,20.8
2016,2016,unshelteredOneNight,white,247543007,100436,4.1
2016,2016,unshelteredOneNight,black,42574478,45817,10.8
2016,2016,unshelteredOneNight,asian,17784547,2111,1.2
2016,2016,unshelteredOneNight,nativeAmerican,4005645,7310,18.2
2016,2016,unshelteredOneNight,nhpi,755813,3288,43.5
2016,2016,unshelteredOneNight,multipleRaces,8233128,13073,15.9
2016,2016,unshelteredOneNight,hispanic,56338521,31106,5.5
2015,2014,shelteredAnnual,white,249060337,722802,29.0
2015,2014,shelteredAnnual,black,42513253,583527,137.3
2015,2014,shelteredAnnual,asian,17299156,10882,6.3
2015,2014,shelteredAnnual,nativeAmerican,3966575,39823,100.4
2015,2014,shelteredAnnual,nhpi,818669,12067,147.4
2015,2014,shelteredAnnual,multipleRaces,8231556,69700,84.7
2015,2014,shelteredAnnual,hispanic,58723946,232114,39.5
2015,2015,homelessOneNight,white,246511923,271799,11.0
2015,2015,homelessOneNight,black,42131407,226956,53.9
2015,2015,homelessOneNight,asian,17237508,6025,3.5
2015,2015,homelessOneNight,nativeAmerican,3955431,15077,38.1
2015,2015,homelessOneNight,nhpi,739576,7619,103.0
2015,2015,homelessOneNight,multipleRaces,7987611,31097,38.9
2015,2015,homelessOneNight,hispanic,55189962,108166,19.6
2015,2015,unshelteredOneNight,white,246511923,97098,3.9
2015,2015,unshelteredOneNight,black,42131407,47451,11.3
2015,2015,unshelteredOneNight,asian,17237508,2334,1.4
2015,2015,unshelteredOneNight,nativeAmerican,3955431,6664,16.8
2015,2015,unshelteredOneNight,nhpi,739576,2664,36.0
2015,2015,unshelteredOneNight,multipleRaces,7987611,12515,15.7
2015,2015,unshelteredOneNight,hispanic,55189962,31706,5.7
